loop_id,label,p2ll
327,5,2.1819751926196584
328,5,1.6530140212551936
329,3,1.4259462572591706
330,5,2.0974323691187364
331,5,0.716275946208936
332,3,0.6709747193153414
333,5,1.0639467149533746
334,3,1.1768428254289824
335,3,1.0023717646797106
336,5,2.3907346787284323
337,2,1.5599498366730158
338,5,1.6437296963023582
339,2,1.2108223152208726
340,4,1.5067082024843184
341,2,1.2007515699082663
342,3,1.0649785693395226
343,3,1.0304106259211283
344,3,1.1113468429522906
345,3,2.0700204365799877
346,3,1.790021187106229
347,1,2.398670016662696
348,5,1.9053017240078982
349,2,1.5510600141587358
350,4,1.9025305175837357
351,4,2.1383849228166585
352,4,1.1123680825280522
353,4,1.4507139210826496
354,4,1.3672121486117328
355,1,1.6820669048819277
356,2,1.5939448862669676
357,4,1.4384439232520987
358,2,1.2827485582327345
359,1,1.5730307878790475
360,0,2.3536162827160862
361,1,1.890560466499073
362,1,1.5124592016649434
363,2,2.2672127792235854
364,2,1.4552251451221183
365,4,1.1220262445318612
366,4,1.2797008104847076
367,0,2.3773404361763535
368,4,1.7791585393945835
369,1,2.224374513728213
370,1,1.4921731627225194
371,1,1.6971231861134435
372,1,1.6066939912476637
373,1,2.002880447885594
374,0,3.075465137507851
375,1,2.441140181491027
376,1,2.196191799866494
377,1,2.097404122031318
378,0,1.2502115640958766
379,1,1.4042890047701146
380,4,1.1436248308432042
381,2,1.454579933676587
382,2,1.5855258243419514
383,2,3.7604955772861492
384,2,3.2020288685585667
385,4,1.7991780505495882
386,2,2.4605215353084904
387,4,1.280352563393205
388,2,2.8430708245834837
389,2,3.1856287572641016
390,2,1.451859769970923
391,2,2.0205295135367622
392,2,1.7478389268512573
393,4,1.2412120756648668
394,5,1.4225267776966104
395,5,2.1742541525388073
396,5,2.3231777399924005
397,1,1.3010003703973767
398,2,
399,2,1.8438944599820615
400,2,1.9701947335817425
401,1,1.1805314783599048
402,4,
403,4,
404,0,1.2556442046274388
405,4,
406,4,
407,3,0.9539996482872724
408,3,1.0544284453925186
409,5,1.4102553056107943
410,5,1.9429547043939603
411,3,1.8975784514285132
412,3,0.8208689263243708
413,3,1.2541694689690215
414,3,1.978165191363713
415,3,1.0697724536382704
416,3,1.092110190512497
417,5,1.555738378842276
418,5,2.0370403036268154
419,3,1.2557649411264682
420,5,1.5696360579468334
421,5,1.5218540025896024
422,2,1.8139031869696056
423,2,1.5489968626956085
424,4,1.777198917127919
425,2,1.82891905511534
426,4,2.18378164957055
427,4,2.2705853302511807
428,2,1.8982285124796816
429,4,1.837433397799527
430,2,2.4879385114631294
431,1,2.3947562169567567
432,1,1.871054851890421
433,1,2.2722363009265645
434,1,2.2358158004614497
435,4,1.3979549812423102
436,4,2.182035462055973
437,5,1.7659106733291714
438,2,1.3791852274002747
439,5,1.6931753787884023
440,3,1.2299614647950694
441,4,1.3819151967081753
442,4,1.7519792271981427
443,1,2.3807919858267494
444,1,2.3807919858267494
445,1,3.127950153912393
446,1,3.127950153912393
447,1,1.5109398895855695
448,1,2.8122544329579267
449,1,2.5515208856570766
450,1,1.7615114155319747
451,4,2.0684878775570112
452,2,1.8065519847163507
453,1,1.8658457319269484
454,2,1.4069184528182959
455,1,1.7831197072787242
456,1,1.2643909279974108
457,4,1.3005160269929739
458,2,1.2481415569311423
459,4,2.1623961486718017
460,2,2.999779262096422
461,2,2.6702697017150157
462,4,1.250632873330848
463,4,2.35248396654053
464,3,1.3917087743483458
465,5,3.19745823575073
466,5,1.5246643406586933
467,3,1.1396459509207628
468,5,0.8996391126309493
469,3,2.4243873941522347
470,3,1.471800194543912
471,3,1.471800194543912
472,5,0.871236152757243
473,5,1.1158374090809349
474,5,2.146255034180102
475,3,2.3651435502561946
476,3,2.6995712123158504
477,5,1.1562422214034482
478,1,2.4637728281448696
479,5,2.1224102935303577
480,1,2.4377546966912678
481,5,2.3231844083623674
482,3,1.3245717742666805
483,3,1.4985068898556058
484,1,1.4180216267533825
485,1,1.5420944975956388
486,4,2.7479460277286747
487,4,2.250121133147313
488,4,1.8258433372938692
489,2,2.8960415176565113
490,4,1.6349576640822945
491,4,1.1595925234337716
492,2,1.6945023987853143
493,1,1.7264828663865746
494,1,1.5120477805629493
495,4,2.2749728950677675
496,4,2.2749728950677675
497,1,1.8456251334589
498,1,1.8456251334589
499,1,2.0894516747389353
500,1,1.0512533633640502
501,2,1.785636209959907
502,2,1.4015683994427426
503,1,2.360414237022001
504,2,1.8213810748324522
505,1,2.9140732507516987
506,1,2.7279849297674064
507,5,1.213588438037063
508,0,1.5913583052909532
509,0,1.0665820275740396
510,0,1.6238844896630475
511,3,1.6972641667697361
512,3,1.3666924365557858
513,3,3.3003991923011817
514,3,2.892796198565281
515,3,1.0765280759334606
516,3,1.775509225674803
517,1,2.567538627820582
518,1,2.539824671580623
519,3,1.775509225674803
520,5,2.433800333530556
521,5,2.1848896010123307
522,5,1.691669054766573
523,3,1.4432365259186672
524,5,1.7406693028027997
525,5,2.005119892270618
526,1,2.60991620277726
527,3,2.356450149024367
528,3,1.6682727148552337
529,5,2.119789286940109
530,5,1.9184479281639593
531,3,1.9655231455967834
532,3,1.6970228730387118
533,3,0.796212139623142
534,5,
535,5,1.7231030866252095
536,2,1.7356614300203481
537,5,2.198765372846624
538,3,1.0680494824455848
539,5,2.4392004010179873
540,5,2.0482257092878564
541,5,2.4570789679609746
542,3,1.1951745853882545
543,3,2.8553446039629193
544,3,2.8553446039629193
545,2,0.7957909082826589
546,4,1.0036248878844594
547,4,0.9887793083716214
548,1,1.2644100394638829
549,5,1.1826917083091621
550,3,2.0772807335519925
551,3,2.183632703678446
552,5,1.2160123080332907
553,2,1.6772412856705896
554,2,1.6908890011419018
555,3,0.7185188039185397
556,5,2.325576835810399
557,3,0.737069436256795
558,5,2.6589630120266254
559,4,1.7024887803565003
560,2,1.0342507510110908
561,2,1.736013214478454
562,2,2.087072867256102
563,2,2.437999901385667
